Vardas              Pavarde             ND1    Egz    
Ubaldas             Baranauskas         4      3      
Mikalojus           Butkus              2      9      
Ivanas              Petrauskas          9      6      
Teofilis            Kazlaukas           1      5      
Urbonas             Pocius              6      2      
Eugenijus           Stankevicius        5      1      
Virgilijus          Butkus              3      7      
Vitalis             Sakalauskas         10     6      
Juozapatas          Sakalauskas         6      1      
Jokubas             zukauskas           3      8      
Ingvaras            Jankauskas          1      1      
Romanas             Pocius              5      6      
Milanas             Petrauskas          10     4      
Vytenis             zukauskas           3      3      
Rokas               Vasiliauskas        5      8      
Svajus              Pocius              6      2      
Gediminas           Petrauskas          8      3      
Cecilijus           Vasiliauskas        2      10     
Gediminas           Paulauskas          7      3      
